SMITH,1,"2,442,977"
JOHNSON,2,"1,932,812"
WILLIAMS,3,"1,625,252"
BROWN,4,"1,437,026"
JONES,5,"1,425,470"
GARCIA,6,"1,166,120"
MILLER,7,"1,161,437"
DAVIS,8,"1,116,357"
RODRIGUEZ,9,"1,094,924"
MARTINEZ,10,"1,060,159"
HERNANDEZ,11,"1,043,281"
LOPEZ,12,"874,523"
GONZALEZ,13,"841,025"
WILSON,14,"801,882"
ANDERSON,15,"784,404"
THOMAS,16,"756,142"
TAYLOR,17,"751,209"
MOORE,18,"724,374"
JACKSON,19,"708,099"
MARTIN,20,"702,625"
LEE,21,"693,023"
PEREZ,22,"681,645"
THOMPSON,23,"664,644"
WHITE,24,"660,491"
HARRIS,25,"624,252"
SANCHEZ,26,"612,752"
CLARK,27,"562,679"
RAMIREZ,28,"557,423"
LEWIS,29,"531,781"
ROBINSON,30,"529,821"
WALKER,31,"523,129"
YOUNG,32,"484,447"
ALLEN,33,"482,607"
KING,34,"465,422"
WRIGHT,35,"458,980"
SCOTT,36,"439,530"
TORRES,37,"437,813"
NGUYEN,38,"437,645"
HILL,39,"434,827"
FLORES,40,"433,969"
GREEN,41,"430,182"
ADAMS,42,"427,865"
NELSON,43,"424,958"
BAKER,44,"419,586"
HALL,45,"407,076"
RIVERA,46,"391,114"
CAMPBELL,47,"386,157"
MITCHELL,48,"384,486"
CARTER,49,"376,966"
ROBERTS,50,"376,774"
GOMEZ,51,"365,655"
PHILLIPS,52,"360,802"
EVANS,53,"355,593"
TURNER,54,"348,627"
DIAZ,55,"347,636"
PARKER,56,"336,221"
CRUZ,57,"334,201"
EDWARDS,58,"332,423"
COLLINS,59,"329,770"
REYES,60,"327,904"
STEWART,61,"324,957"
MORRIS,62,"318,884"
MORALES,63,"311,777"
MURPHY,64,"308,417"
COOK,65,"302,589"
ROGERS,66,"302,261"
GUTIERREZ,67,"293,218"
ORTIZ,68,"286,899"
MORGAN,69,"286,280"
COOPER,70,"280,791"
PETERSON,71,"278,297"
BAILEY,72,"277,845"
REED,73,"277,030"
KELLY,74,"267,394"
HOWARD,75,"264,826"
RAMOS,76,"263,464"
KIM,77,"262,352"
COX,78,"261,231"
WARD,79,"260,464"
RICHARDSON,80,"259,798"
WATSON,81,"252,579"
BROOKS,82,"251,663"
CHAVEZ,83,"250,898"
WOOD,84,"250,715"
JAMES,85,"249,379"
BENNETT,86,"247,599"
GRAY,87,"246,116"
MENDOZA,88,"242,771"
RUIZ,89,"238,234"
HUGHES,90,"236,271"
PRICE,91,"235,251"
ALVAREZ,92,"233,983"
CASTILLO,93,"230,420"
SANDERS,94,"230,374"
PATEL,95,"229,973"
MYERS,96,"229,895"
LONG,97,"229,374"
ROSS,98,"229,368"
FOSTER,99,"227,764"
JIMENEZ,100,"227,118"
POWELL,101,"224,874"
JENKINS,102,"222,653"
PERRY,103,"221,741"
RUSSELL,104,"221,558"
SULLIVAN,105,"220,990"
BELL,106,"220,599"
COLEMAN,107,"219,070"
BUTLER,108,"218,847"
HENDERSON,109,"218,393"
BARNES,110,"218,241"
GONZALES,111,"214,758"
FISHER,112,"214,703"
VASQUEZ,113,"212,781"
SIMMONS,114,"210,182"
ROMERO,115,"208,614"
JORDAN,116,"208,403"
PATTERSON,117,"205,423"
ALEXANDER,118,"204,621"
HAMILTON,119,"201,746"
GRAHAM,120,"201,159"
REYNOLDS,121,"200,247"
GRIFFIN,122,"198,406"
WALLACE,123,"197,276"
MORENO,124,"196,925"
WEST,125,"195,818"
COLE,126,"195,289"
HAYES,127,"194,246"
BRYANT,128,"192,773"
HERRERA,129,"192,711"
GIBSON,130,"190,667"
ELLIS,131,"188,968"
TRAN,132,"188,498"
MEDINA,133,"188,497"
AGUILAR,134,"186,512"
STEVENS,135,"185,674"
MURRAY,136,"184,910"
FORD,137,"184,832"
CASTRO,138,"184,134"
MARSHALL,139,"183,922"
OWENS,140,"182,719"
HARRISON,141,"181,091"
FERNANDEZ,142,"180,842"
MCDONALD,143,"180,497"
WOODS,144,"177,425"
WASHINGTON,145,"177,386"
KENNEDY,146,"176,865"
WELLS,147,"176,230"
VARGAS,148,"173,835"
HENRY,149,"170,964"
CHEN,150,"169,580"
FREEMAN,151,"169,149"
WEBB,152,"168,878"
TUCKER,153,"167,446"
GUZMAN,154,"167,044"
BURNS,155,"165,925"
CRAWFORD,156,"164,457"
OLSON,157,"164,035"
SIMPSON,158,"163,181"
PORTER,159,"163,054"
HUNTER,160,"162,440"
GORDON,161,"161,833"
MENDEZ,162,"161,717"
SILVA,163,"161,633"
SHAW,164,"160,400"
SNYDER,165,"160,262"
MASON,166,"160,213"
DIXON,167,"159,480"
MUNOZ,168,"158,483"
HUNT,169,"158,421"
HICKS,170,"158,320"
HOLMES,171,"156,780"
PALMER,172,"156,601"
WAGNER,173,"155,795"
BLACK,174,"154,738"
ROBERTSON,175,"153,666"
BOYD,176,"153,469"
ROSE,177,"153,397"
STONE,178,"153,329"
SALAZAR,179,"152,703"
FOX,180,"152,334"
WARREN,181,"152,147"
MILLS,182,"151,942"
MEYER,183,"150,895"
RICE,184,"149,500"
SCHMIDT,185,"147,034"
GARZA,186,"147,005"
DANIELS,187,"146,570"
FERGUSON,188,"146,426"
NICHOLS,189,"145,584"
STEPHENS,190,"144,646"
SOTO,191,"144,451"
WEAVER,192,"143,837"
RYAN,193,"143,452"
GARDNER,194,"142,894"
PAYNE,195,"142,601"
GRANT,196,"142,277"
DUNN,197,"141,427"
KELLEY,198,"140,693"
SPENCER,199,"139,951"
HAWKINS,200,"139,751"
ARNOLD,201,"138,893"
PIERCE,202,"138,629"
VAZQUEZ,203,"138,322"
HANSEN,204,"137,977"
PETERS,205,"137,513"
SANTOS,206,"137,232"
HART,207,"137,184"
BRADLEY,208,"136,720"
KNIGHT,209,"136,713"
ELLIOTT,210,"135,765"
CUNNINGHAM,211,"135,718"
DUNCAN,212,"135,187"
ARMSTRONG,213,"135,044"
HUDSON,214,"134,963"
CARROLL,215,"134,317"
LANE,216,"134,227"
RILEY,217,"133,872"
ANDREWS,218,"133,799"
ALVARADO,219,"133,501"
RAY,220,"133,171"
DELGADO,221,"132,985"
BERRY,222,"132,812"
PERKINS,223,"131,440"
HOFFMAN,224,"131,401"
JOHNSTON,225,"131,373"
MATTHEWS,226,"131,303"
PENA,227,"130,776"
RICHARDS,228,"130,529"
CONTRERAS,229,"130,164"
WILLIS,230,"130,152"
CARPENTER,231,"129,898"
LAWRENCE,232,"129,699"
SANDOVAL,233,"128,948"
GUERRERO,234,"128,677"
GEORGE,235,"128,625"
CHAPMAN,236,"127,939"
RIOS,237,"127,794"
ESTRADA,238,"127,470"
ORTEGA,239,"127,256"
WATKINS,240,"127,083"
GREENE,241,"126,101"
NUNEZ,242,"125,350"
WHEELER,243,"125,058"
VALDEZ,244,"124,995"
HARPER,245,"124,461"
BURKE,246,"122,877"
LARSON,247,"122,587"
SANTIAGO,248,"122,212"
MALDONADO,249,"121,526"
MORRISON,250,"121,130"
FRANKLIN,251,"120,621"
CARLSON,252,"120,552"
AUSTIN,253,"119,706"
DOMINGUEZ,254,"119,304"
CARR,255,"119,076"
LAWSON,256,"119,053"
JACOBS,257,"118,614"
OBRIEN,258,"118,557"
LYNCH,259,"117,708"
SINGH,260,"116,749"
VEGA,261,"116,673"
BISHOP,262,"116,618"
MONTGOMERY,263,"115,953"
OLIVER,264,"115,900"
JENSEN,265,"115,679"
HARVEY,266,"115,662"
WILLIAMSON,267,"114,959"
GILBERT,268,"114,940"
DEAN,269,"114,030"
SIMS,270,"113,374"
ESPINOZA,271,"112,154"
HOWELL,272,"112,041"
LI,273,"111,786"
WONG,274,"111,371"
REID,275,"111,360"
HANSON,276,"111,144"
LE,277,"110,967"
MCCOY,278,"110,744"
GARRETT,279,"110,697"
BURTON,280,"110,529"
FULLER,281,"110,116"
WANG,282,"109,883"
WEBER,283,"109,433"
WELCH,284,"108,987"
ROJAS,285,"108,421"
LUCAS,286,"107,690"
MARQUEZ,287,"107,533"
FIELDS,288,"107,522"
PARK,289,"106,696"
YANG,290,"106,033"
LITTLE,291,"105,936"
BANKS,292,"105,833"
PADILLA,293,"105,365"
DAY,294,"105,091"
WALSH,295,"105,079"
BOWMAN,296,"105,007"
SCHULTZ,297,"104,888"
LUNA,298,"104,518"
FOWLER,299,"104,515"
MEJIA,300,"104,057"
DAVIDSON,301,"103,930"
ACOSTA,302,"103,418"
BREWER,303,"103,318"
MAY,304,"103,306"
HOLLAND,305,"102,538"
JUAREZ,306,"101,949"
NEWMAN,307,"101,931"
PEARSON,308,"101,836"
CURTIS,309,"101,801"
CORTEZ,310,"101,694"
DOUGLAS,311,"101,458"
SCHNEIDER,312,"101,290"
JOSEPH,313,"100,959"
BARRETT,314,"100,104"
NAVARRO,315,"99,807"
FIGUEROA,316,"98,468"
KELLER,317,"98,268"
AVILA,318,"97,314"
WADE,319,"97,040"
MOLINA,320,"96,979"
STANLEY,321,"96,867"
HOPKINS,322,"96,810"
CAMPOS,323,"96,111"
BARNETT,324,"95,681"
BATES,325,"95,622"
CHAMBERS,326,"94,988"
CALDWELL,327,"93,944"
BECK,328,"93,786"
LAMBERT,329,"93,678"
MIRANDA,330,"93,628"
BYRD,331,"92,904"
CRAIG,332,"92,507"
AYALA,333,"92,463"
LOWE,334,"92,260"
FRAZIER,335,"92,152"
POWERS,336,"91,970"
NEAL,337,"91,694"
LEONARD,338,"91,475"
GREGORY,339,"91,384"
CARRILLO,340,"91,129"
SUTTON,341,"90,964"
FLEMING,342,"90,677"
RHODES,343,"90,670"
SHELTON,344,"90,517"
SCHWARTZ,345,"90,071"
NORRIS,346,"89,796"
JENNINGS,347,"89,700"
WATTS,348,"89,649"
DURAN,349,"89,401"
WALTERS,350,"89,376"
COHEN,351,"89,091"
MCDANIEL,352,"88,728"
MORAN,353,"88,615"
PARKS,354,"88,586"
STEELE,355,"88,230"
VAUGHN,356,"88,060"
BECKER,357,"87,859"
HOLT,358,"87,531"
DELEON,359,"87,414"
BARKER,360,"87,162"
TERRY,361,"87,000"
HALE,362,"86,618"
LEON,363,"86,363"
HAIL,364,"86,240"
BENSON,365,"86,081"
HAYNES,366,"85,974"
HORTON,367,"85,195"
MILES,368,"84,942"
LYONS,369,"84,516"
PHAM,370,"84,320"
GRAVES,371,"84,179"
BUSH,372,"84,018"
THORNTON,373,"83,967"
WOLFE,374,"83,928"
WARNER,375,"83,781"
CABRERA,376,"83,621"
MCKINNEY,377,"83,616"
MANN,378,"83,510"
ZIMMERMAN,379,"83,265"
DAWSON,380,"83,182"
LARA,381,"83,067"
FLETCHER,382,"83,063"
PAGE,383,"82,992"
MCCARTHY,384,"82,950"
LOVE,385,"82,873"
ROBLES,386,"82,458"
CERVANTES,387,"82,161"
SOLIS,388,"82,146"
ERICKSON,389,"82,085"
REEVES,390,"81,978"
CHANG,391,"81,939"
KLEIN,392,"81,471"
SALINAS,393,"81,156"
FUENTES,394,"81,006"
BALDWIN,395,"80,742"
DANIEL,396,"80,526"
SIMON,397,"80,460"
VELASQUEZ,398,"80,364"
HARDY,399,"80,252"
HIGGINS,400,"79,803"
AGUIRRE,401,"79,517"
LIN,402,"79,508"
CUMMINGS,403,"79,316"
CHANDLER,404,"79,186"
SHARP,405,"78,990"
BARBER,406,"78,848"
BOWEN,407,"78,822"
OCHOA,408,"78,677"
DENNIS,409,"78,482"
ROBBINS,410,"78,381"
LIU,411,"78,370"
RAMSEY,412,"78,350"
FRANCIS,413,"78,327"
GRIFFITH,414,"78,260"
PAUL,415,"78,256"
BLAIR,416,"78,026"
OCONNOR,417,"77,923"
CARDENAS,418,"77,652"
PACHECO,419,"77,642"
CROSS,420,"77,557"
CALDERON,421,"77,085"
QUINN,422,"76,986"
MOSS,423,"76,908"
SWANSON,424,"76,897"
CHAN,425,"76,664"
RIVAS,426,"76,205"
KHAN,427,"76,171"
RODGERS,428,"76,095"
SERRANO,429,"75,996"
FITZGERALD,430,"75,356"
ROSALES,431,"75,185"
STEVENSON,432,"75,169"
CHRISTENSEN,433,"75,143"
MANNING,434,"74,949"
GILL,435,"74,948"
CURRY,436,"74,919"
MCLAUGHLIN,437,"74,816"
HARMON,438,"74,737"
MCGEE,439,"74,542"
GROSS,440,"74,503"
DOYLE,441,"74,458"
GARNER,442,"74,324"
NEWTON,443,"74,092"
BURGESS,444,"73,931"
REESE,445,"73,919"
WALTON,446,"73,854"
BLAKE,447,"73,797"
TRUJILLO,448,"73,664"
ADKINS,449,"73,599"
BRADY,450,"73,145"
GOODMAN,451,"73,136"
ROMAN,452,"72,918"
WEBSTER,453,"72,625"
GOODWIN,454,"72,451"
FISCHER,455,"72,357"
HUANG,456,"72,328"
POTTER,457,"72,175"
DELACRUZ,458,"72,109"
MONTOYA,459,"71,844"
TODD,460,"71,759"
WU,461,"71,721"
HINES,462,"71,717"
MULLINS,463,"71,646"
CASTANEDA,464,"71,368"
MALONE,465,"71,286"
CANNON,466,"71,085"
TATE,467,"71,058"
MACK,468,"71,056"
SHERMAN,469,"70,502"
HUBBARD,470,"70,362"
HODGES,471,"70,223"
ZHANG,472,"70,125"
GUERRA,473,"70,071"
WOLF,474,"70,031"
VALENCIA,475,"70,000"
SAUNDERS,476,"69,943"
FRANCO,476,"69,943"
ROWE,478,"69,879"
GALLAGHER,479,"69,834"
FARMER,480,"69,617"
HAMMOND,481,"69,515"
HAMPTON,482,"69,472"
TOWNSEND,483,"69,360"
INGRAM,484,"69,345"
WISE,485,"68,649"
GALLEGOS,486,"68,373"
CLARKE,487,"68,281"
BARTON,488,"68,233"
SCHROEDER,489,"67,977"
MAXWELL,490,"67,961"
WATERS,491,"67,929"
LOGAN,492,"67,909"
CAMACHO,493,"67,893"
STRICKLAND,494,"67,769"
NORMAN,495,"67,704"
